PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
Q9NRL3,STRN4,STRN4_HUMAN,cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; membrane [GO:0016020]; protein-containing complex [GO:0032991]; armadillo repeat domain binding [GO:0070016]; calmodulin binding [GO:0005516]; protein phosphatase 2A binding [GO:0051721]; protein-containing complex binding [GO:0044877],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Note=CTTNBP2-binding may regulate dendritic spine distribution. {ECO:0000250}.",Striatin-4 (Zinedin),GO:0005516; GO:0005737; GO:0016020; GO:0032991; GO:0043197; GO:0044877; GO:0051721; GO:0070016,1.00E-07,1.00E-07,1.00E-07,0.051295473,0.075272401,0.042145713,0.051295473,-4.285024687,0.056237763,0.028118981,5.916330482,0.003198294,0.038126663,-4.949990958,80596,1.418771205,9,3,0,1.00E-07,0.051295473,512954.7279,18.96847198,-4.285024687,-3.731735193,-4.568470286
Q86WB0,ZC3HC1,NIPA_HUMAN,nuclear membrane [GO:0031965]; nucleus [GO:0005634]; protein kinase binding [GO:0019901]; zinc ion binding [GO:0008270]; cell cycle [GO:0007049]; cell division [GO:0051301]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; protein ubiquitination [GO:0016567],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12748172}.,Nuclear-interacting partner of ALK (Nuclear-interacting partner of anaplastic lymphoma kinase) (hNIPA) (Zinc finger C3HC-type protein 1),GO:0005634; GO:0007049; GO:0008270; GO:0016567; GO:0019901; GO:0031965; GO:0051301; GO:2001240,0.000356478,0.000702808,0.000897274,0.013773847,0.025195908,0.023202652,0.023202652,-5.429566502,0.020071948,0.010688161,5.914364085,0.003202462,0.038126663,-4.951564765,55262,1.418771205,12,0,0,0.000702808,0.023202652,33.01420418,5.045014965,-6.181924661,-5.310666743,-5.429566502
Q86VW0,SESTD1,SESD1_HUMAN,"intermediate filament cytoskeleton [GO:0045111]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904878]",NA,SEC14 domain and spectrin repeat-containing protein 1 (Huntingtin-interacting protein-like protein) (Protein Solo),GO:0005546; GO:0010314; GO:0032266; GO:0043325; GO:0045111; GO:0070273; GO:0070300; GO:0080025; GO:1904878,0.002811217,0.012346473,0.003183437,0.131437441,0.093084117,0.076463465,0.093084117,-3.425321168,0.094214632,0.053221025,5.906796656,0.003218563,0.038159137,-4.95762517,79348,1.418401457,13,0,0,0.003183437,0.093084117,29.24012827,4.869877735,-2.927551796,-3.425321168,-3.709085609
Q9P258,RCC2,RCC2_HUMAN,"chromosome, centromeric core domain [GO:0034506]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle midzone [GO:1990023]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; microtubule binding [GO:0008017]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; Rac GTPase binding [GO:0048365]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; activation of GTPase activity [GO:0090630]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome passenger complex localization to kinetochore [GO:0072356]; establishment of protein localization [GO:0045184]; focal adhesion assembly [GO:0048041]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of GTPase activity [GO:0034260]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; regulation of cell migration [GO:0030334]; regulation of fibroblast migration [GO:0010762]; regulation of ruffle assembly [GO:1900027]","SUBCELLULAR LOCATION: Nucleus, nucleolus. Chromosome, centromere. Cytoplasm, cytoskeleton, spindle. Note=Appears in the nucleus at G2, then concentrates at the inner centromere region of chromosomes during prophase. Redistributes to the midzone of the mitotic spindle during anaphase. Here, the protein covers the entire equatorial diameter from cortex to cortex.",Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa),GO:0003723; GO:0005730; GO:0005829; GO:0005874; GO:0005886; GO:0007049; GO:0007229; GO:0008017; GO:0010762; GO:0010971; GO:0019901; GO:0019904; GO:0030334; GO:0030496; GO:0031267; GO:0031901; GO:0034260; GO:0034506; GO:0045184; GO:0048041; GO:0048365; GO:0051301; GO:0051895; GO:0051987; GO:0072356; GO:0090630; GO:1900025; GO:1900027; GO:1990023,7.04E-05,6.40E-05,5.28E-05,0.071710738,0.063170982,0.03788514,0.063170982,-3.984594188,0.057526565,0.028825671,5.885857756,0.003263627,0.038622313,-4.974425768,56085,1.413161722,14,0,0,6.40E-05,0.063170982,987.4353753,9.947542521,-3.801667018,-3.984594188,-4.722224113
Q9P2R3,ANKFY1,ANFY1_HUMAN,"cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; macropinosome [GO:0044354]; membrane [GO:0016020]; metal ion binding [GO:0046872]; phosphatidylinositol phosphate binding [GO:1901981]; Rab GTPase binding [GO:0017137]; endocytosis [GO:0006897]; endosomal transport [GO:0016197]; endosomal vesicle fusion [GO:0034058]; Golgi to lysosome transport [GO:0090160]; positive regulation of pinocytosis [GO:0048549]; retrograde transport, endosome to Golgi [GO:0042147]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10940552}. Endosome membrane {ECO:0000269|PubMed:10940552}; Peripheral membrane protein {ECO:0000269|PubMed:10940552}. Early endosome {ECO:0000269|PubMed:15328530}. Note=Also associated with endosomal membranes. Localizes to macropinosomes. {ECO:0000269|PubMed:15328530}.,Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif),GO:0005765; GO:0005768; GO:0005769; GO:0005829; GO:0006897; GO:0010008; GO:0016020; GO:0016197; GO:0017137; GO:0034058; GO:0042147; GO:0043231; GO:0044354; GO:0046872; GO:0048549; GO:0070062; GO:0090160; GO:1901981,0.000254055,0.000122824,0.000102648,0.029756913,0.022992673,0.015865001,0.022992673,-5.442682,0.022711687,0.011515686,5.883179791,0.003269445,0.038622313,-4.976577823,128399,1.413161722,24,0,0,0.000122824,0.022992673,187.199923,7.548436031,-5.070631338,-5.442682,-5.978008566
O60347,TBC1D12,TBC12_HUMAN,autophagosome [GO:0005776]; recycling endosome [GO:0055037]; GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]; regulation of autophagosome assembly [GO:2000785]; regulation of vesicle fusion [GO:0031338],NA,TBC1 domain family member 12,GO:0005096; GO:0005776; GO:0006886; GO:0017137; GO:0031338; GO:0055037; GO:0090630; GO:2000785,0.252426388,0.211223448,0.36634869,0.952062262,1.520152302,1.408066776,1.408066776,0.493715754,1.016760938,0.785046644,5.875717447,0.003285724,0.038740772,-4.982578707,85626,1.411831726,5,0,0,0.252426388,1.408066776,5.57812829,2.479781115,-0.070872171,0.604215873,0.493715754
O00451,GFRA2,GFRA2_HUMAN,anchored component of membrane [GO:0031225]; extrinsic component of membrane [GO:0019898]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; glial cell-derived neurotrophic factor receptor activity [GO:0016167]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; axon guidance [GO:0007411]; MAPK cascade [GO:0000165]; positive regulation of peptidyl-serine phosphorylation of STAT protein [GO:0033141]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.",GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2),GO:0000165; GO:0005088; GO:0005622; GO:0005886; GO:0007169; GO:0007411; GO:0016167; GO:0019898; GO:0031225; GO:0033141,1.00E-07,1.00E-07,1.00E-07,0.117791942,0.156412198,0.083347015,0.117791942,-3.08568725,0.119183618,0.059591909,5.868334345,0.003301927,0.03883333,-4.988521702,51544,1.410795365,7,3,0,1.00E-07,0.117791942,1177919.416,20.16780941,-3.08568725,-2.676575071,-3.58472566
P19388,POLR2E,RPAB1_HUMAN,"cytosol [GO:0005829]; DNA-directed RNA polymerase I complex [GO:0005736]; DNA-directed RNA polymerase II, core complex [GO:0005665]; DNA-directed RNA polymerase III complex [GO:0005666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase I promoter [GO:0006361]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription-coupled nucleotide-excision repair [GO:0006283]; viral process [GO:0016032]",SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9852112}.,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)",GO:0000398; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005829; GO:0006283; GO:0006361; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0006383; GO:0008543; GO:0016032; GO:0016070; GO:0042795; GO:0045815; GO:0060964,1.00E-07,1.00E-07,1.00E-07,0.012799759,0.007894921,0.007659099,0.007894921,-6.984859386,0.00945116,0.00472568,5.857637728,0.003325574,0.038987313,-4.997142214,24551,1.409076697,3,3,0,1.00E-07,0.007894921,78949.21375,16.26863728,-6.287739522,-6.984859386,-7.028609677
Q6ULP2,AFTPH,AFTIN_HUMAN,AP-1 adaptor complex [GO:0030121]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; clathrin binding [GO:0030276]; protein transport [GO:0015031],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14665628}. Note=Colocalizes with AP1G1 and clathrin.,Aftiphilin,GO:0005634; GO:0005794; GO:0005829; GO:0015031; GO:0030121; GO:0030276; GO:0043231,0.069282061,0.000244314,0.000296847,0.185866275,0.16978027,0.238763194,0.185866275,-2.427663073,0.174862172,0.110705493,5.854023952,0.003333608,0.038987313,-5.000057355,102113,1.409076697,9,0,0,0.000296847,0.185866275,626.1344709,9.290328719,-2.427663073,-2.558259283,-2.066347639
Q9UBF2,COPG2,COPG2_HUMAN,"COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; transport vesicle [GO:0030133]; structural molecule activity [GO:0005198]; ER to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. Tends to be more abundant in the trans-Golgi network compared to the cis-Golgi. {ECO:0000250}.",Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP),GO:0000139; GO:0005198; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006890; GO:0006891; GO:0030126; GO:0030133,0.002286668,0.00017461,0.000104616,0.009566029,0.016540171,0.01583393,0.01583393,-5.980836813,0.013124745,0.007417671,5.853566313,0.003334628,0.038987313,-5.000426621,97622,1.409076697,21,0,0,0.00017461,0.01583393,90.68155359,6.502737203,-6.707864101,-5.917882022,-5.980836813
Q8IV38,ANKMY2,ANKY2_HUMAN,cilium [GO:0005929]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; regulation of smoothened signaling pathway [GO:0008589],"SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250}.",Ankyrin repeat and MYND domain-containing protein 2,GO:0005929; GO:0008589; GO:0019899; GO:0046872,0.009298609,0.037048725,0.01850564,0.128225846,0.161178916,0.100833287,0.128225846,-2.963241007,0.108461691,0.075848504,5.851821758,0.003338516,0.038987313,-5.001834495,49299,1.409076697,8,0,0,0.01850564,0.128225846,6.929014323,2.792650138,-2.963241007,-2.633265059,-3.309956118
Q9BX66,SORBS1,SRBS1_HUMAN,cell-cell adherens junction [GO:0005913]; cell-substrate adherens junction [GO:0005924]; centrosome [GO:0005813]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; membrane raft [GO:0045121]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]; zonula adherens [GO:0005915]; actin binding [GO:0003779]; cytoskeletal protein binding [GO:0008092]; insulin receptor binding [GO:0005158]; SH3/SH2 adaptor activity [GO:0005070]; cell-matrix adhesion [GO:0007160]; cellular response to insulin stimulus [GO:0032869]; focal adhesion assembly [GO:0048041]; insulin receptor signaling pathway [GO:0008286]; muscle contraction [GO:0006936]; positive regulation of glucose import [GO:0046326]; positive regulation of glucose import in response to insulin stimulus [GO:2001275]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of protein localization to plasma membrane [GO:1903078]; stress fiber assembly [GO:0043149],"SUBCELLULAR LOCATION: Cell junction, adherens junction. Cell membrane. Cytoplasm, cytoskeleton. Cell junction, focal adhesion. Nucleus {ECO:0000250}. Nucleus matrix {ECO:0000250}. Note=Colocalizes with the Ten-1 ICD form of TENM1 in the nucleus (By similarity). Colocalizes with actin stress fibers. Also detected at the plasma membrane and in neuronal intranuclear inclusions. Colocalized with PXN at focal adhesions during myogenic differentiation. {ECO:0000250}.",Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP),GO:0001725; GO:0003779; GO:0005070; GO:0005158; GO:0005634; GO:0005813; GO:0005829; GO:0005886; GO:0005913; GO:0005915; GO:0005924; GO:0005925; GO:0006936; GO:0007160; GO:0008092; GO:0008286; GO:0016363; GO:0032869; GO:0043149; GO:0045121; GO:0045725; GO:0046326; GO:0046889; GO:0048041; GO:1903078; GO:2001275,7.54E-06,6.60E-06,8.71E-06,0.059130303,0.045931452,0.031166205,0.045931452,-4.444373798,0.045401702,0.022708469,5.840910202,0.003362963,0.039219302,-5.010647626,142513,1.406500144,23,0,0,7.54E-06,0.045931452,6088.263423,12.57181507,-4.079958517,-4.444373798,-5.003873681
Q96T37,RBM15,RBM15_HUMAN,"nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]; branching involved in blood vessel morphogenesis [GO:0001569]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of myeloid cell differentiation [GO:0045638]; placenta blood vessel development [GO:0060674]; positive regulation of transcription of Notch receptor target [GO:0007221]; spleen development [GO:0048536]; ventricular septum morphogenesis [GO:0060412]; viral process [GO:0016032]","SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:19586903, ECO:0000269|PubMed:24100041}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17001072, ECO:0000269|PubMed:19786495, ECO:0000269|PubMed:24100041}. Nucleus envelope {ECO:0000269|PubMed:19586903}. Nucleus membrane {ECO:0000269|PubMed:19786495}; Peripheral membrane protein {ECO:0000269|PubMed:19786495}. Note=Colocalizes at the nuclear pore with DBP5 and NXF1. {ECO:0000269|PubMed:19786495}.",RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15),GO:0000398; GO:0001569; GO:0003676; GO:0003723; GO:0005654; GO:0007221; GO:0016032; GO:0016607; GO:0031965; GO:0045638; GO:0048536; GO:0060412; GO:0060674,1.00E-07,0.000182786,1.00E-07,0.021264472,0.012969467,0.012861063,0.012969467,-6.268736965,0.015637339,0.007879665,5.835479576,0.003375211,0.039267175,-5.015038637,107189,1.405970337,16,2,0,1.00E-07,0.012969467,129694.673,16.9847597,-5.555411132,-6.268736965,-6.280846345
Q8NAV1,PRPF38A,PR38A_HUMAN,"nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Pre-mRNA-splicing factor 38A,GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0031965; GO:0071011,1.00E-07,1.00E-07,1.00E-07,0.013435628,0.017753501,0.024844213,0.017753501,-5.815752676,0.018677681,0.00933894,5.835023134,0.003376243,0.039267175,-5.015407844,37477,1.405970337,7,3,0,1.00E-07,0.017753501,177535.0052,17.43774399,-6.217792384,-5.815752676,-5.33094633
Q9Y6D9,MAD1L1,MD1L1_HUMAN,centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; spindle [GO:0005819]; spindle pole [GO:0000922]; identical protein binding [GO:0042802]; kinetochore binding [GO:0043515]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; mitotic cell cycle checkpoint [GO:0007093]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of T cell proliferation [GO:0042130]; regulation of metaphase plate congression [GO:0090235]; thymus development [GO:0048538],"SUBCELLULAR LOCATION: Nucleus. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:22351768}. Nucleus envelope {ECO:0000269|PubMed:22351768}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:22351768}. Note=Detected at the nucleus envelope during interphase (PubMed:22351768). From the beginning to the end of mitosis, it is seen to move from a diffusely nuclear distribution to the centrosome, to the spindle midzone and finally to the midbody. Detected at kinetochores during prometaphase (PubMed:22351768). Colocalizes with NEK2 at the kinetochore (PubMed:14978040). Colocalizes with IK at spindle poles during metaphase and anaphase (PubMed:22351768). {ECO:0000269|PubMed:14978040, ECO:0000269|PubMed:22351768}.",Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181),GO:0000776; GO:0000777; GO:0000922; GO:0005635; GO:0005813; GO:0005819; GO:0005829; GO:0007093; GO:0007094; GO:0042130; GO:0042802; GO:0043515; GO:0048538; GO:0051301; GO:0051315; GO:0072686; GO:0090235,0.005285347,1.00E-07,1.00E-07,0.148375789,0.162110476,0.086644763,0.148375789,-2.752672394,0.13061516,0.067069429,5.831435005,0.003384368,0.039308264,-5.018310991,83067,1.405516137,10,2,0,1.00E-07,0.148375789,1483757.889,20.50082427,-2.752672394,-2.624950773,-3.528743636
Q15904,ATP6AP1,VAS1_HUMAN,"endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; proton-transporting two-sector ATPase complex [GO:0016469]; proton-transporting V-type ATPase, V1 domain [GO:0033180]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; Rab GTPase binding [GO:0017137]; transporter activity [GO:0005215]; ATP hydrolysis coupled proton transport [GO:0015991]; cellular iron ion homeostasis [GO:0006879]; cellular response to increased oxygen levels [GO:0036295]; establishment of organelle localization [GO:0051656]; insulin receptor signaling pathway [GO:0008286]; ion transmembrane transport [GO:0034220]; pH reduction [GO:0045851]; positive regulation of bone resorption [GO:0045780]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of osteoclast development [GO:2001206]; proton transmembrane transport [GO:1902600]; transferrin transport [GO:0033572]",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27231034}; Single-pass membrane protein {ECO:0000305}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:27231034}. Note=Not detected in trans-Golgi network. {ECO:0000269|PubMed:27231034}.,V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1),GO:0005215; GO:0005524; GO:0005789; GO:0006879; GO:0008286; GO:0010008; GO:0015991; GO:0016021; GO:0016469; GO:0017137; GO:0033116; GO:0033180; GO:0033572; GO:0034220; GO:0036295; GO:0045669; GO:0045780; GO:0045851; GO:0045921; GO:0046933; GO:0046961; GO:0051656; GO:0070062; GO:0070374; GO:1902600; GO:2001206,1.00E-07,1.00E-07,1.00E-07,0.023233444,0.015762535,0.029946847,0.023233444,-5.427653161,0.022980842,0.011490521,5.828512486,0.003391003,0.039331962,-5.020676617,52026,1.405254394,5,3,0,1.00E-07,0.023233444,232334.4403,17.8258435,-5.427653161,-5.987356638,-5.061452073
Q3SXM5,HSDL1,HSDL1_HUMAN,mitochondrion [GO:0005739],SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19026618}.,Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3),GO:0005739,1.00E-07,1.00E-07,1.00E-07,0.008001051,0.014070685,0.01506703,0.014070685,-6.151163582,0.012379489,0.006189844,5.823788103,0.003401763,0.039366732,-5.024502701,37002,1.404870639,6,3,0,1.00E-07,0.014070685,140706.8542,17.10233308,-6.965594723,-6.151163582,-6.052461135
Q5MIZ7,PPP4R3B,P4R3B_HUMAN,centrosome [GO:0005813]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; protein phosphatase 4 complex [GO:0030289]; positive regulation of gluconeogenesis [GO:0045722]; protein dephosphorylation [GO:0006470]; regulation of lipid metabolic process [GO:0019216],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18487071}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:18487071}. Nucleus {ECO:0000269|PubMed:18487071}. Note=In interphase localized in the cytoplasm and (with higher levels) the nucleus. During metaphase located in pericentriolar regions.",Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2),GO:0005654; GO:0005737; GO:0005813; GO:0006470; GO:0016607; GO:0019216; GO:0030289; GO:0045722,0.00738356,3.31E-05,2.26E-05,0.267847673,0.144544249,0.197067122,0.197067122,-2.343240991,0.200673253,0.102816388,5.823158831,0.003403199,0.039366732,-5.025012503,97458,1.404870639,4,0,0,3.31E-05,0.197067122,5957.015606,12.54037402,-1.900515335,-2.79041689,-2.343240991
Q9NS39,ADARB2,RED2_HUMAN,nucleus [GO:0005634]; adenosine deaminase activity [GO:0004000]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; mRNA processing [GO:0006397],SUBCELLULAR LOCATION: Nucleus.,Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2) (dsRNA adenosine deaminase B2),GO:0003723; GO:0003725; GO:0003727; GO:0004000; GO:0005634; GO:0006397; GO:0046872,0.000128628,0.000116948,0.029203602,0.685546112,0.635157165,0.368022712,0.635157165,-0.654814474,0.55309227,0.286362528,5.805306547,0.003444251,0.039734212,-5.03949327,80621,1.400835392,5,0,0,0.000128628,0.635157165,4937.931159,12.26969101,-0.544674385,-0.654814474,-1.442133294
