PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
O43157,PLXNB1,PLXB1_HUMAN,extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; semaphorin receptor complex [GO:0002116]; GTPase activating protein binding [GO:0032794]; GTPase activator activity [GO:0005096]; semaphorin receptor activity [GO:0017154]; semaphorin receptor binding [GO:0030215]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; axon extension [GO:0048675]; cell migration [GO:0016477]; G-protein coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; negative regulation of cell adhesion [GO:0007162]; negative regulation of osteoblast proliferation [GO:0033689]; neuron projection morphogenesis [GO:0048812]; ossification involved in bone maturation [GO:0043931]; positive regulation of axonogenesis [GO:0050772]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; regulation of cell shape [GO:0008360]; regulation of cytoskeleton organization [GO:0051493]; regulation of GTPase activity [GO:0043087]; semaphorin-plexin signaling pathway [GO:0071526]; semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis [GO:1900220]; signal transduction [GO:0007165],SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 2: Secreted.; SUBCELLULAR LOCATION: Isoform 3: Secreted.,Plexin-B1 (Semaphorin receptor SEP),GO:0002116; GO:0004888; GO:0005096; GO:0005576; GO:0005622; GO:0005886; GO:0005887; GO:0007162; GO:0007165; GO:0007186; GO:0008360; GO:0014068; GO:0016477; GO:0017154; GO:0030215; GO:0032794; GO:0033689; GO:0035556; GO:0038023; GO:0043087; GO:0043547; GO:0043931; GO:0048675; GO:0048812; GO:0050772; GO:0051493; GO:0071526; GO:1900220,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.027402243,0.033024139,0.026615869,0.00788033,1.00E-07,0.026615869,0.018984436,0.009492318,3.046408006,0.014888513,0.030858371,-5.018751085,"232,298",1.510627,32,5,1,,,1
Q7Z3G6,PRICKLE2,PRIC2_HUMAN,"cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; zinc ion binding [GO:0008270]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]",SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000305}.,Prickle-like protein 2,GO:0005737; GO:0008270; GO:0031965; GO:0060071,0.861779522,0.871469875,0.995818259,1.566552096,0.980882069,0.191148826,1.00E-07,1.00E-07,1.00E-07,0.782556569,1.00E-07,-0.565020539,0.516916508,-2.977221051,0.016596534,0.034054938,-5.131128325,"95,615",1.467819903,4,0,3,,,1
P16157,ANK1,ANK1_HUMAN,axolemma [GO:0030673]; basolateral plasma membrane [GO:0016323]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal adaptor activity [GO:0008093]; enzyme binding [GO:0019899]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; cytoskeleton organization [GO:0007010]; ER to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165],"SUBCELLULAR LOCATION: Isoform Er1: Cytoplasm, cytoskeleton. Note=Probably the other erythrocyte (Er) isoforms, are located near the surface of erythrocytic plasma membrane.; SUBCELLULAR LOCATION: Isoform Mu17: Membrane. Cytoplasm, myofibril, sarcomere, M line. Note=Colocalizes with OBSCN isoform 3/obscurin at the M line in differentiated skeletal muscle cells.; SUBCELLULAR LOCATION: Isoform Mu18: Sarcoplasmic reticulum {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform Mu19: Sarcoplasmic reticulum {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform Mu20: Sarcoplasmic reticulum {ECO:0000305}.",Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin),GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0010638; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0045199; GO:0045211; GO:0051117; GO:0072659,1.00E-07,0.039021535,1.00E-07,0.108692422,0.314780841,0.40723948,0.141596609,0.168077256,0.575765291,1.00E-07,0.314780841,0.247025242,0.197979274,2.758900182,0.023437838,0.046286158,-5.485847068,"206,265",1.334548862,23,3,0,,,1
Q9Y2G0,EFR3B,EFR3B_HUMAN,cytosol [GO:0005829]; plasma membrane [GO:0005886]; phosphatidylinositol phosphorylation [GO:0046854]; protein localization to plasma membrane [GO:0072659],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23229899, ECO:0000269|PubMed:25380825}; Lipid-anchor {ECO:0000269|PubMed:23229899, ECO:0000269|PubMed:25380825}. Cytoplasm, cytosol {ECO:0000269|PubMed:25380825}. Note=Palmitoylation anchors the protein to the plasma membrane (PubMed:23229899, PubMed:25380825). A small amount is observed in the cytosol (PubMed:25380825). {ECO:0000269|PubMed:23229899, ECO:0000269|PubMed:25380825}.",Protein EFR3 homolog B,GO:0005829; GO:0005886; GO:0046854; GO:0072659,0.169183555,0.085636379,0.095440979,0.103323311,0.027019612,0.047479348,0.088935122,0.076493959,0.140989726,0.174005295,0.076493959,-0.163924915,0.158146011,-2.665229739,0.027203765,0.053019817,-5.637715047,"92,487",1.275561775,16,0,0,,,1
Q8TC26,TMEM163,TM163_HUMAN,cell junction [GO:0030054]; early endosome membrane [GO:0031901]; integral component of synaptic vesicle membrane [GO:0030285]; zinc ion binding [GO:0008270],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Early endosome membrane {ECO:0000250}. Note=Glutamatergic synaptic vesicles. {ECO:0000250}.",Transmembrane protein 163,GO:0008270; GO:0030054; GO:0030285; GO:0031901,1.00E-07,1.00E-07,1.00E-07,0.194876398,1.00E-07,0.29480001,1.00E-07,1.00E-07,1.00E-07,0.413514604,1.00E-07,-0.372343235,0.245131699,-2.571426346,0.031593541,0.060793731,-5.789333368,"31,469",1.216141204,3,0,4,,1,1
Q684P5,RAP1GAP2,RPGP2_HUMAN,centrosome [GO:0005813]; cytosol [GO:0005829]; neuron projection [GO:0043005]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; GTPase activator activity [GO:0005096]; negative regulation of neuron projection development [GO:0010977]; regulation of cell size [GO:0008361]; regulation of small GTPase mediated signal transduction [GO:0051056],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15632203}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:15632203}.",Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4),GO:0005096; GO:0005813; GO:0005829; GO:0005886; GO:0008361; GO:0010977; GO:0031965; GO:0043005; GO:0048471; GO:0051056,0.112147945,0.018696366,0.117512344,0.072287888,0.232972595,0.277135774,0.211076986,0.251373526,0.156278657,0.304318647,0.232972595,-0.065886838,0.258710926,-2.484108585,0.036322389,0.06886135,-5.929865423,"80,056",1.162024465,15,0,0,,1,1
Q9UQB3,CTNND2,CTND2_HUMAN,"adherens junction [GO:0005912]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; nucleus [GO:0005634]; perikaryon [GO:0043204]; beta-catenin binding [GO:0008013]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; dendritic spine morphogenesis [GO:0060997]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction [GO:0007165]; synapse organization [GO:0050808]; transcription, DNA-templated [GO:0006351]; Wnt signaling pathway [GO:0016055]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O35927}. Cell junction, adherens junction {ECO:0000250|UniProtKB:O35927}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35116}. Perikaryon {ECO:0000269|PubMed:22022388}.",Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin),GO:0005634; GO:0005737; GO:0005912; GO:0006351; GO:0006355; GO:0007155; GO:0007165; GO:0008013; GO:0016055; GO:0030425; GO:0043204; GO:0050808; GO:0060828; GO:0060997; GO:0098609,0.353283634,0.319562568,0.397071984,0.187831027,0.488883167,0.71903049,0.54414585,1.213332903,0.345036582,0.285937251,0.54414585,0.35122234,0.486474628,2.340931847,0.045663676,0.084797419,-6.158539267,"132,656",1.071617368,28,0,0,,,1
O95757,HSPA4L,HS74L_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein folding [GO:0006457]; response to unfolded protein [GO:0006986],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=May translocate to the nucleus after heat shock. {ECO:0000250}.,Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94),GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006457; GO:0006986,0.073465515,0.10676331,0.100111586,0.085096386,0.079586326,0.041431234,0.021126784,0.023791125,0.018934559,1.00E-07,0.023791125,0.02915536,0.022396326,2.169884471,0.059995124,0.108068365,-6.427737664,"94,512",0.966301419,26,4,0,,,1
O94875,SORBS2,SRBS2_HUMAN,actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; Z disc [GO:0030018]; cytoskeletal adaptor activity [GO:0008093]; RNA binding [GO:0003723]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; actin filament organization [GO:0007015]; cell growth involved in cardiac muscle cell development [GO:0061049],"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:16125169, ECO:0000269|PubMed:9211900}. Apical cell membrane {ECO:0000269|PubMed:18559503}. Cell junction, focal adhesion {ECO:0000269|PubMed:18559503}. Cell projection, lamellipodium {ECO:0000269|PubMed:18559503}. Note=Found at the Z-disk sarcomeres, stress fibers, dense bodies and focal adhesion. In pancreatic acinar cells, localized preferentially to the apical membrane. Colocalized with vinculin and filamentous actin at focal adhesions and lamellipodia of pancreatic cells. {ECO:0000269|PubMed:18559503}.",Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin),GO:0003723; GO:0005200; GO:0005634; GO:0005654; GO:0005925; GO:0007015; GO:0008093; GO:0008307; GO:0015629; GO:0016324; GO:0030018; GO:0030027; GO:0048471; GO:0061049,0.016170638,0.01102016,1.00E-07,0.009760176,1.00E-07,0.003093857,1.00E-07,0.007516536,0.008732403,1.00E-07,0.003093857,0.003868499,0.00193435,1.997157533,0.078910069,0.137868952,-6.693483283,"124,108",0.860533525,28,5,2,,,1
Q01538,MYT1,MYT1_HUMAN,"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA binding transcription factor activity [GO:0003700]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; zinc ion binding [GO:0008270]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus.,Myelin transcription factor 1 (MyT1) (Myelin transcription factor I) (MyTI) (PLPB1) (Proteolipid protein-binding protein),GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0006351; GO:0006355; GO:0007399; GO:0008270; GO:0030154,0.947479591,1.083219453,0.550223439,0.342971636,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.059588096,1.00E-07,-0.086060837,0.043030518,-1.992474107,0.079495879,0.138761355,-6.700585045,"122,329",0.857731468,8,2,5,,,1
Q86UL8,MAGI2,MAGI2_HUMAN,bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; late endosome [GO:0005770]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; slit diaphragm [GO:0036057]; synapse [GO:0045202]; beta-1 adrenergic receptor binding [GO:0031697]; phosphatase binding [GO:0019902]; receptor signaling complex scaffold activity [GO:0030159]; SMAD binding [GO:0046332]; type II activin receptor binding [GO:0070699]; cellular response to nerve growth factor stimulus [GO:1990090]; glomerular visceral epithelial cell development [GO:0072015]; mitotic cell cycle arrest [GO:0071850]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation [GO:0008285]; negative regulation of protein kinase B signaling [GO:0051898]; nerve growth factor signaling pathway [GO:0038180]; neuroligin clustering involved in postsynaptic membrane assembly [GO:0097118]; planar cell polarity pathway involved in axis elongation [GO:0003402]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of receptor internalization [GO:0002092]; positive regulation of synaptic vesicle clustering [GO:2000809]; protein heterooligomerization [GO:0051291]; receptor clustering [GO:0043113]; SMAD protein signal transduction [GO:0060395],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Late endosome {ECO:0000250}. Cell junction, synapse, synaptosome {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Localized diffusely in the cytoplasm before nerve growth factor (NGF) stimulation. Recruted to late endosomes after NGF stimulation. Membrane-associated in synaptosomes (By similarity). {ECO:0000250}.","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Atrophin-1-interacting protein A) (Membrane-associated guanylate kinase inverted 2) (MAGI-2)",GO:0002092; GO:0003402; GO:0005634; GO:0005737; GO:0005770; GO:0005886; GO:0005923; GO:0008285; GO:0010976; GO:0014069; GO:0019902; GO:0030159; GO:0030336; GO:0030425; GO:0031697; GO:0032516; GO:0032926; GO:0032991; GO:0036057; GO:0038180; GO:0043113; GO:0045202; GO:0046332; GO:0048471; GO:0051291; GO:0051898; GO:0060395; GO:0070699; GO:0071850; GO:0072015; GO:0097118; GO:1990090; GO:2000809,0.520217867,0.455988376,0.422646249,0.599702935,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.031572019,1.00E-07,-0.07573593,0.037868065,-1.897932954,0.092250611,0.158187898,-6.842595063,"158,754",0.800826745,6,2,5,,,1
Q8WXI2,CNKSR2,CNKR2_HUMAN,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; identical protein binding [GO:0042802]; regulation of signal transduction [GO:0009966],SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein.,Connector enhancer of kinase suppressor of ras 2 (Connector enhancer of KSR 2) (CNK homolog protein 2) (CNK2),GO:0005737; GO:0009966; GO:0014069; GO:0042802; GO:0043005; GO:0043025; GO:0045211; GO:0070062,1.00E-07,0.049243731,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.151177214,0.000229318,1.00E-07,0.156027512,1.00E-07,-0.116205342,0.088384037,-1.890238815,0.093370286,0.15998919,-6.854033267,"117,535",0.795909361,6,0,3,,1,1
Q04727,TLE4,TLE4_HUMAN,"beta-catenin-TCF complex [GO:1990907]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; beta-catenin-TCF complex assembly [GO:1904837]; cellular response to leukemia inhibitory factor [GO:1990830]; negative regulation of transcription by RNA polymerase II [GO:0000122]; transcription, DNA-templated [GO:0006351]; Wnt signaling pathway [GO:0016055]",SUBCELLULAR LOCATION: Nucleus.,Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4),GO:0000122; GO:0003682; GO:0003705; GO:0003714; GO:0005634; GO:0005654; GO:0006351; GO:0016055; GO:0070491; GO:1904837; GO:1990830; GO:1990907,0.3082708,0.315070967,0.313211126,0.240557586,0.502064631,0.719828582,0.58447917,0.609619719,0.738833981,0.537755214,0.609619719,0.1216042,0.570163117,1.783217469,0.110336905,0.184613648,-7.011081505,"83,755",0.733736195,5,0,0,,,1
Q9BXA9,SALL3,SALL3_HUMAN,"nucleus [GO:0005634]; DNA binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]; forelimb morphogenesis [GO:0035136]; hindlimb morphogenesis [GO:0035137]; negative regulation of smoothened signaling pathway [GO:0045879]; neurogenesis [GO:0022008]; olfactory bulb interneuron development [GO:0021891]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction [GO:0007165]; transcription by RNA polymerase II [GO:0006366]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Sal-like protein 3 (Zinc finger protein 796) (Zinc finger protein SALL3) (hSALL3),GO:0000981; GO:0003700; GO:0005634; GO:0006355; GO:0006366; GO:0007165; GO:0021891; GO:0022008; GO:0035136; GO:0035137; GO:0043565; GO:0044212; GO:0045879; GO:0046872,0.263285822,0.031686313,1.00E-07,1.00E-07,0.237976607,0.121042549,0.128615789,0.107948576,1.071862881,1.00E-07,0.128615789,0.318817276,0.174080642,1.759937359,0.114391755,0.19057048,-7.044704814,"135,346",0.719944372,5,3,0,,,1
O14994,SYN3,SYN3_HUMAN,"cell junction [GO:0030054]; postsynaptic density [GO:0014069]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; ATP binding [GO:0005524]; neurotransmitter secretion [GO:0007269]; regulation of synaptic transmission, GABAergic [GO:0032228]","SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Note=Peripheral membrane protein localized to the cytoplasmic surface of synaptic vesicles.",Synapsin-3 (Synapsin III),GO:0005524; GO:0007269; GO:0008021; GO:0014069; GO:0030054; GO:0030672; GO:0032228,0.099553801,0.087970568,0.086113065,0.012500983,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.022647525,1.00E-07,-0.063124881,0.03156254,-1.753987508,0.115450118,0.192156894,-7.053265377,"63,303",0.716344029,5,0,5,,,1
Q9NSC5,HOMER3,HOME3_HUMAN,basal part of cell [GO:0045178]; cell junction [GO:0030054]; cytosol [GO:0005829]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; G-protein coupled glutamate receptor binding [GO:0035256]; identical protein binding [GO:0042802]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; G-protein coupled glutamate receptor signaling pathway [GO:0007216]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of interleukin-2 production [GO:0032703]; protein targeting [GO:0006605],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane, postsynaptic density {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Note=Postsynaptic density of neuronal cells. {ECO:0000250}.",Homer protein homolog 3 (Homer-3),GO:0005829; GO:0006605; GO:0007216; GO:0008022; GO:0014069; GO:0019904; GO:0030054; GO:0032703; GO:0035256; GO:0042802; GO:0045178; GO:0045211; GO:0070885,0.374186342,0.127141545,0.426905894,0.244058597,0.708471104,1.621184746,0.412899756,2.683412065,0.394523446,0.431766309,0.708471104,0.753491782,0.787352332,1.750506381,0.116073557,0.193128687,-7.058267704,"39,836",0.714153213,7,0,0,,1,1
Q8WUY1,THEM6,THEM6_HUMAN,extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,Protein THEM6 (Mesenchymal stem cell protein DSCD75) (Thioesterase superfamily member 6),GO:0005576,0.027769902,0.005828472,0.088732729,0.016643452,0.056333309,0.060783212,0.03604545,0.213106981,0.032345682,0.012491037,0.056333309,0.056116932,0.051664461,1.667632612,0.13186761,0.216023655,-7.175935365,"23,865",0.66549869,8,0,0,,,1
Q92618,ZNF516,ZN516_HUMAN,"nucleus [GO:0005634]; activating transcription factor binding [GO:0033613]; DNA binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]; adipose tissue development [GO:0060612]; brown fat cell differentiation [GO:0050873]; multicellular organism development [GO:0007275]; positive regulation of transcription, DNA-templated [GO:0045893]; response to cold [GO:0009409]; signal transduction [GO:0007165]; transcription by RNA polymerase II [GO:0006366]",SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q7TSH3}.,Zinc finger protein 516,GO:0000981; GO:0000987; GO:0003700; GO:0005634; GO:0006366; GO:0007165; GO:0007275; GO:0009409; GO:0033613; GO:0043565; GO:0044212; GO:0045893; GO:0046872; GO:0050873; GO:0060612,0.727091254,0.868541121,0.700499948,0.786230652,0.699854717,1.625644748,0.84626391,0.801278345,0.640895495,0.587507927,0.801278345,0.295360523,0.775107181,1.649565655,0.135563189,0.22055556,-7.201209901,"124,289",0.656481989,11,0,0,,,1
Q9H4W6,EBF3,COE3_HUMAN,"nucleus [GO:0005634]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; multicellular organism development [GO:0007275]; positive regulation of transcription, DNA-templated [GO:0045893]",SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28017373}.,Transcription factor COE3 (Early B-cell factor 3) (EBF-3) (Olf-1/EBF-like 2) (O/E-2) (OE-2),GO:0000978; GO:0000981; GO:0001077; GO:0005634; GO:0007275; GO:0045893; GO:0046872; GO:0046983,0.108996388,0.433156665,0.109058409,0.431265142,0.670688873,0.076837795,0.144601775,0.183675324,0.292893339,0.00870526,0.183675324,0.186926659,0.180276092,1.63984285,0.137590922,0.22314781,-7.214753045,"64,864",0.651407371,5,2,0,,,1
Q86VV8,RTTN,RTTN_HUMAN,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cilium organization [GO:0044782]; determination of left/right symmetry [GO:0007368],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:22939636}. Note=Colocalizes with the basal bodies at the primary cilium.",Rotatin,GO:0005737; GO:0005813; GO:0007368; GO:0036064; GO:0044782,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.069617092,0.005306324,0.004425169,0.010200943,0.004710687,1.00E-07,0.005306324,0.018851943,0.009426071,1.51995579,0.164954013,0.25950074,-7.378189652,"248,630",0.5858614,16,5,0,,,1
O15347,HMGB3,HMGB3_HUMAN,"chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]; RNA binding [GO:0003723]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; innate immune response [GO:0045087]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P40618, ECO:0000255|PROSITE-ProRule:PRU00267}. Chromosome {ECO:0000305}. Cytoplasm {ECO:0000250|UniProtKB:O54879}.",High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),GO:0000400; GO:0003690; GO:0003723; GO:0005634; GO:0005694; GO:0005737; GO:0006310; GO:0006351; GO:0006355; GO:0007275; GO:0008301; GO:0032392; GO:0045087,0.061341208,0.063041395,0.066101787,0.053021923,0.056042829,0.069870344,0.056881401,0.071005094,0.063113808,0.058731496,0.063113808,0.007587678,0.059588856,1.455104097,0.181698514,0.280324455,-7.463653528,"22,980",0.552339014,10,0,0,,,1
Q7L945,ZNF627,ZN627_HUMAN,"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Zinc finger protein 627,GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0046872,0.565832824,0.600403987,0.307272885,1.333075396,0.373273487,0.320335727,0.42917487,0.471128597,0.19162388,0.565019152,0.373273487,-0.269864157,0.492039391,-1.427586313,0.189244058,0.290222352,-7.499244671,"52,853",0.537269143,4,0,0,,,1
